SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.001
Elongation till break,1-Preload,0.200,44,0,-0.001
Elongation till break,1-Preload,0.400,44,0,-0.001
Elongation till break,1-Stretch,0.420,44,0,-0.001
Elongation till break,1-Stretch,0.620,44.372,0.372,0.256
Elongation till break,1-Stretch,0.820,44.813,0.813,0.667
Elongation till break,1-Stretch,1.020,45.254,1.254,0.975
Elongation till break,1-Stretch,1.220,45.695,1.695,1.412
Elongation till break,1-Stretch,1.420,46.137,2.137,1.669
Elongation till break,1-Stretch,1.620,46.578,2.578,1.849
Elongation till break,1-Stretch,1.820,47.019,3.019,2.235
Elongation till break,1-Stretch,2.020,47.46,3.46,2.440
Elongation till break,1-Stretch,2.220,47.901,3.901,2.646
Elongation till break,1-Stretch,2.420,48.342,4.342,2.774
Elongation till break,1-Stretch,2.620,48.783,4.783,2.980
Elongation till break,1-Stretch,2.820,49.224,5.224,3.340
Elongation till break,1-Stretch,3.020,49.665,5.665,3.622
Elongation till break,1-Stretch,3.220,50.106,6.106,3.648
Elongation till break,1-Stretch,3.420,50.547,6.547,-0.335
Elongation till break,1-Stretch,3.620,50.988,6.988,-0.284
Elongation till break,1-Stretch,3.820,51.43,7.43,-0.310
Elongation till break,1-Stretch,4.020,51.871,7.871,-0.310
Elongation till break,1-Stretch,4.220,52.312,8.312,-0.284
Elongation till break,1-Stretch,4.420,52.753,8.753,-0.258
Elongation till break,1-Stretch,4.620,53.194,9.194,-0.284
Elongation till break,1-Stretch,4.820,53.635,9.635,-0.207
Elongation till break,1-Stretch,5.020,54.076,10.076,-0.207
