SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.052
Elongation till break,1-Preload,0.200,44.001,0,0.025
Elongation till break,1-Preload,0.400,44.001,0,-0.026
Elongation till break,1-Stretch,0.420,44.001,0,-0.026
Elongation till break,1-Stretch,0.620,44.373,0.372,0.231
Elongation till break,1-Stretch,0.820,44.815,0.814,0.617
Elongation till break,1-Stretch,1.020,45.256,1.255,0.976
Elongation till break,1-Stretch,1.220,45.697,1.696,1.336
Elongation till break,1-Stretch,1.420,46.138,2.137,1.670
Elongation till break,1-Stretch,1.620,46.579,2.578,2.056
Elongation till break,1-Stretch,1.820,47.02,3.019,2.313
Elongation till break,1-Stretch,2.020,47.461,3.46,2.621
Elongation till break,1-Stretch,2.220,47.902,3.901,2.801
Elongation till break,1-Stretch,2.420,48.343,4.342,3.109
Elongation till break,1-Stretch,2.620,48.785,4.784,3.495
Elongation till break,1-Stretch,2.820,49.226,5.225,3.803
Elongation till break,1-Stretch,3.020,49.667,5.666,4.060
Elongation till break,1-Stretch,3.220,50.108,6.107,4.394
Elongation till break,1-Stretch,3.420,50.549,6.548,4.626
Elongation till break,1-Stretch,3.620,50.99,6.989,4.883
Elongation till break,1-Stretch,3.820,51.431,7.43,0.103
Elongation till break,1-Stretch,4.020,51.872,7.871,0.077
Elongation till break,1-Stretch,4.220,52.314,8.313,-0.077
Elongation till break,1-Stretch,4.420,52.755,8.754,-0.077
Elongation till break,1-Stretch,4.620,53.196,9.195,0.025
