SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.002
Elongation till break,1-Preload,0.200,44,0,-0.002
Elongation till break,1-Preload,0.400,44,0,-0.002
Elongation till break,1-Stretch,0.420,44,0,-0.002
Elongation till break,1-Stretch,0.620,44.372,0.372,0.486
Elongation till break,1-Stretch,0.820,44.813,0.813,1.000
Elongation till break,1-Stretch,1.020,45.254,1.254,1.643
Elongation till break,1-Stretch,1.220,45.695,1.695,2.234
Elongation till break,1-Stretch,1.420,46.137,2.137,2.722
Elongation till break,1-Stretch,1.620,46.578,2.578,3.236
Elongation till break,1-Stretch,1.820,47.019,3.019,3.879
Elongation till break,1-Stretch,2.020,47.46,3.46,4.367
Elongation till break,1-Stretch,2.220,47.901,3.901,5.035
Elongation till break,1-Stretch,2.420,48.342,4.342,5.729
Elongation till break,1-Stretch,2.620,48.783,4.783,6.500
Elongation till break,1-Stretch,2.820,49.224,5.224,7.297
Elongation till break,1-Stretch,3.020,49.665,5.665,8.119
Elongation till break,1-Stretch,3.220,50.107,6.107,8.890
Elongation till break,1-Stretch,3.420,50.547,6.547,9.635
Elongation till break,1-Stretch,3.620,50.988,6.988,10.432
Elongation till break,1-Stretch,3.820,51.43,7.43,11.229
Elongation till break,1-Stretch,4.020,51.871,7.871,12.000
Elongation till break,1-Stretch,4.220,52.312,8.312,12.848
Elongation till break,1-Stretch,4.420,52.753,8.753,13.747
Elongation till break,1-Stretch,4.620,53.194,9.194,14.570
Elongation till break,1-Stretch,4.820,53.635,9.635,15.469
Elongation till break,1-Stretch,5.020,54.076,10.076,16.291
Elongation till break,1-Stretch,5.220,54.517,10.517,17.088
Elongation till break,1-Stretch,5.420,54.958,10.958,17.910
Elongation till break,1-Stretch,5.620,55.399,11.399,2.260
Elongation till break,1-Stretch,5.820,55.841,11.841,-0.284
Elongation till break,1-Stretch,6.020,56.282,12.282,-0.284
Elongation till break,1-Stretch,6.220,56.722,12.722,-0.233
Elongation till break,1-Stretch,6.420,57.164,13.164,-0.207
Elongation till break,1-Stretch,6.620,57.605,13.605,-0.207
Elongation till break,1-Stretch,6.820,58.046,14.046,-0.182
Elongation till break,1-Stretch,7.020,58.487,14.487,-0.105
